Requirement_ID,Requirement,Sub_Feature_ID,Sub_Feature,Test_Case_ID,Test_Case_Name,Feature_Description,Verification_Goal,Stimuli,Test_Type,Coverage_Method,Covergroup_Binding,Assertion_Binding,Sequence_Binding,Criteria_Pass_Fail,Priority,RTL_Reference,Spec_Reference,Status,Implementation_Stage,Implementation_Artifact,Implementation_Notes
L2TLB-TP-IMPORT-L2TLB_TP_042,TLB operation,L2TLB_TP_042,TLB operation,L2TLB_TP_042,TLBOP request、grant、pipeline cmplt、source done 不得 early、missing 或 duplicate,TLBOP request、grant、pipeline cmplt、source done 不得 early、missing 或 duplicate,done 与 operation lifecycle 一一对应,TLBP/TLBR/TLBWI/TLBWR/INV* directed,White-box monitor/coverage,all TLBOP types；done latency bins,all TLBOP types；done latency bins,TLBOP ordering checker,TLBOP wrapper 需统一 metadata,TLBOP ordering checker; done 与 operation lifecycle 一一对应,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_043,TLB operation,L2TLB_TP_043,TLB operation,L2TLB_TP_043,TLBOP 执行中 reset 时 pending 操作清空，reset 后模型 all-invalid,TLBOP 执行中 reset 时 pending 操作清空，reset 后模型 all-invalid,无旧 done 被消费，新请求正常,TLBOP scan/write 中拉 reset,Black-box functional,reset during TLBP/TLBWI/INVALL,reset during TLBP/TLBWI/INVALL,reset plus TLBOP checker,需新增 TLBOP reset directed,reset plus TLBOP checker; 无旧 done 被消费，新请求正常,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_044,abort,L2TLB_TP_044,abort,L2TLB_TP_044,`tlboper_ptw_abort` 清理或重发受影响 MB/PTW，stale completion 不写回旧 translation,`tlboper_ptw_abort` 清理或重发受影响 MB/PTW，stale completion 不写回旧 translation,stale PTW completion ignored，合法 reissue/drain,outstanding PTW/MB 期间触发 invalidate abort,Black-box functional,abort sent MB；abort unsent MB；late completion,abort sent MB；abort unsent MB；late completion,stale completion checker,MB/INV wrapper 需加强,stale completion checker; stale PTW completion ignored，合法 reissue/drain,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_045,RRPV SRAM,L2TLB_TP_045,RRPV SRAM,L2TLB_TP_045,PTW refill、TLBWI/TLBWR 写有效 entry 时 RRPV 初始化行为可观察，但 v1 不以 exact 值做 pass/fail,PTW refill、TLBWI/TLBWR 写有效 entry 时 RRPV 初始化行为可观察，但 v1 不以 exact 值做 pass/fail,功能可见 lookup 正确，RRPV sample 进入 debug coverage,refill/write 压力场景,White-box monitor/coverage,refill init；TLBWI/TLBWR init,refill init；TLBWI/TLBWR init,functional checker；debug RRPV sampler,`test_mmu_dir_rrpv_init_*` 需重分类,functional checker；debug RRPV sampler; 功能可见 lookup 正确，RRPV sample 进入 debug coverage,P1,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_046,RRPV wbuf,L2TLB_TP_046,RRPV wbuf,L2TLB_TP_046,hit aging 与 refill 压力下 wbuf 不 overflow，full 时不得错误 grant 新 RRPV 更新,hit aging 与 refill 压力下 wbuf 不 overflow，full 时不得错误 grant 新 RRPV 更新,no overflow，full stall 行为可分类,high hit/refill pressure,White-box monitor/coverage,wbuf full stall；hit promote pressure,wbuf full stall；hit promote pressure,wbuf no-overflow checker,`test_mmu_rand_rrpv_wbuf_no_overflow` 粗映射,wbuf no-overflow checker; no overflow，full stall 行为可分类,P1,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_047,replacement,L2TLB_TP_047,replacement,L2TLB_TP_047,victim/free-way/max-RRPV 行为 v1 只看写入后的功能结果，exact victim 留到 future 专项,victim/free-way/max-RRPV 行为 v1 只看写入后的功能结果，exact victim 留到 future 专项,后续 lookup/TLBP/TLBR/invalidate 功能结果可解释,free-way 与 max-RRPV 压力,White-box monitor/coverage,replacement pressure；future exact victim bins,replacement pressure；future exact victim bins,functional visible checker,`test_mmu_dir_rrpv_victim_*` 需重分类,functional visible checker; 后续 lookup/TLBP/TLBR/invalidate 功能结果可解释,P2,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_048,illegal input,L2TLB_TP_048,illegal input,L2TLB_TP_048,非法 access type、协议非法 page size、bad completion ID、credit overflow 不进入普通功能测试,非法 access type、协议非法 page size、bad completion ID、credit overflow 不进入普通功能测试,assertion 或 error-handling 触发，功能结果不比较,isolated negative injection,Negative assertion,bad type；bad pgs；bad ID；credit overflow,bad type；bad pgs；bad ID；credit overflow,negative checker,需新增 negative suite,negative checker; assertion 或 error-handling 触发，功能结果不比较,P1,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_049,timeout/fairness,L2TLB_TP_049,timeout/fairness,L2TLB_TP_049,PTW ready wait、MB retry、TLBOP scan、wbuf stall 的 timeout 区分 TB fairness 与 DUT progress,PTW ready wait、MB retry、TLBOP scan、wbuf stall 的 timeout 区分 TB fairness 与 DUT progress,fairness 满足后 eventually complete，否则分类报错,backpressure 后 release 的 directed 场景,Black-box functional,PTW wait；MB retry；TLBOP scan；wbuf stall,PTW wait；MB retry；TLBOP scan；wbuf stall,timeout classifier,需新增 scoreboard policy,timeout classifier; fairness 满足后 eventually complete，否则分类报错,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_050,coverage closure,L2TLB_TP_050,coverage closure,L2TLB_TP_050,source、result、page-size、ASID/global、control/reset/abort 覆盖矩阵收口或 waiver,source、result、page-size、ASID/global、control/reset/abort 覆盖矩阵收口或 waiver,coverage report 与 waiver 对齐,audit regression list,White-box monitor/coverage,all required source/result bins,all required source/result bins,traceability matrix checker,`l2tlb_tests` audit run list 需建立,traceability matrix checker; coverage report 与 waiver 对齐,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_051,arbiter/PTW refill,L2TLB_TP_051,arbiter/PTW refill,L2TLB_TP_051,PTW read grant 后 `ptw_on` 阻塞非 PTW write 请求，直到 PTW write 被接收后释放,PTW read grant 后 `ptw_on` 阻塞非 PTW write 请求，直到 PTW write 被接收后释放,`ptw_on=1` 窗口内只有对应 PTW write 可获 grant，释放后其他 source 可继续,PTW refill read/write 与 ReqQ/PFU/TLBOP 同时竞争,White-box monitor/coverage,ptw_on stall；PTW read-to-write sequence,ptw_on stall；PTW read-to-write sequence,ptw_on exclusion checker；grant sequence checker,`test_mmu_dir_l2tlb_bank_write_conflict_ptw_prior` 需加强,ptw_on exclusion checker；grant sequence checker; `ptw_on=1` 窗口内只有对应 PTW write 可获 grant，释放后其他 source 可继续,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_052,arbiter/TLBOP,L2TLB_TP_052,arbiter/TLBOP,L2TLB_TP_052,TLBOP 获 grant 后 `tlboper_on` 阻塞 ReqQ/PFU/PTW read，直到 tlb operation done,TLBOP 获 grant 后 `tlboper_on` 阻塞 ReqQ/PFU/PTW read，直到 tlb operation done,`tlboper_on=1` 窗口内不 grant 非 TLBOP 请求，done 后恢复,扫描类 INVALL/INVASID 与普通 lookup/PTW/PFU 竞争,White-box monitor/coverage,tlboper_on stall；scan done release,tlboper_on stall；scan done release,tlboper_on exclusion checker；done release checker,`test_mmu_dir_l2tlb_bank_write_conflict_tlbop_prior` 需加强,tlboper_on exclusion checker；done release checker; `tlboper_on=1` 窗口内不 grant 非 TLBOP 请求，done 后恢复,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_053,PFU/arbiter,L2TLB_TP_053,PFU/arbiter,L2TLB_TP_053,MMU-on PFU request 获 grant 后 `prefetch_mask` 阻止同一持续 `lsu_mmu_va2_vld` 重复获 grant，直到 response 或 MB-full replay 边界,MMU-on PFU request 获 grant 后 `prefetch_mask` 阻止同一持续 `lsu_mmu_va2_vld` 重复获 grant，直到 response 或 MB-full replay 边界,每笔 PFU 只接受一次；mask 在 `pa2_vld/pa2_err` 或 retry 条件后释放,PFU request 保持 valid，构造 hit、fault、MB full retry 三类结果,Black-box functional,prefetch_mask hit release；error release；retry release,prefetch_mask hit release；error release；retry release,PFU accept counter；prefetch_mask release checker,需新增 PFU mask directed,PFU accept counter；prefetch_mask release checker; 每笔 PFU 只接受一次；mask 在 `pa2_vld/pa2_err` 或 retry 条件后释放,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_054,arbiter/index,L2TLB_TP_054,arbiter/index,L2TLB_TP_054,VA[31:30] selector 与 page size 组合生成正确 skew index 和候选 bank mask,VA[31:30] selector 与 page size 组合生成正确 skew index 和候选 bank mask,lookup 访问 all-bank；PTW read 的 `arb_l2tlb_bank_sel` 符合 mask_bank_sel 表,构造 4 个 selector x 3 个 page size 的 lookup/PTW refill read,White-box monitor/coverage,selector 00/01/10/11 x 4KB/2MB/1GB,selector 00/01/10/11 x 4KB/2MB/1GB,index/bank mask sampler；hash/index consistency checker,`test_mmu_dir_l2tlb_bank_skew_distribution` 粗映射,index/bank mask sampler；hash/index consistency checker; lookup 访问 all-bank；PTW read 的 `arb_l2tlb_bank_sel` 符合 mask_bank_sel 表,P1,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_055,miss buffer,L2TLB_TP_055,miss buffer,L2TLB_TP_055,MB full 判断按 source 分区：ITLB 只看 entry0，DTLB/PFU 只看 entry1-entry8,MB full 判断按 source 分区：ITLB 只看 entry0，DTLB/PFU 只看 entry1-entry8,ITLB 不借用 1..8；DTLB/PFU 不借用 entry0；可用分区内仍能分配,分别填满 entry0 或 entry1-entry8 后发 ITLB/DTLB/PFU miss,Black-box functional,ITLB full；DTLB/PFU full；cross-partition non-blocking,ITLB full；DTLB/PFU full；cross-partition non-blocking,MB partition checker,`test_mmu_dir_l2tlb_mb_full_stall` 需拆分加强,MB partition checker; ITLB 不借用 1..8；DTLB/PFU 不借用 entry0；可用分区内仍能分配,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_056,PTW interface,L2TLB_TP_056,PTW interface,L2TLB_TP_056,多个 sent MB entry 的 PTW completion 可乱序返回，必须只按 composite ID 释放和归属,多个 sent MB entry 的 PTW completion 可乱序返回，必须只按 composite ID 释放和归属,对应 MB entry 释放，原始 L1/PFU ownership 正确，不依赖 issue 顺序,issue 多个 ITLB/DTLB/PFU miss 后乱序返回 completion,Black-box functional,out-of-order data_vld；fault；mixed type,out-of-order data_vld；fault；mixed type,PTW ID scoreboard；out-of-order completion checker,PTW tests 粗映射，L2 directed 需新增,PTW ID scoreboard；out-of-order completion checker; 对应 MB entry 释放，原始 L1/PFU ownership 正确，不依赖 issue 顺序,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_057,PFU,L2TLB_TP_057,PFU,L2TLB_TP_057,"PMP `{L,X,W,R}` 与 sysmap `{SO,C,B,Share,Sec}`、MAEE 属性选择按 truth table 产生 PFU allow/deny/sec/share","PMP `{L,X,W,R}` 与 sysmap `{SO,C,B,Share,Sec}`、MAEE 属性选择按 truth table 产生 PFU allow/deny/sec/share",`pa2_vld/pa2_err/sec/share` 与有效 privilege、MAEE、PMP lock 规则一致,构造 MMU-off、MMU-on hit、PFU PTW completion 三路径的 PMP/sysmap/MAEE 组合,Black-box functional,PMP R/L combos；sysmap SO/C；MAEE 0/1,PMP R/L combos；sysmap SO/C；MAEE 0/1,PFU attribute truth-table checker,需新增 PFU truth-table directed,PFU attribute truth-table checker; `pa2_vld/pa2_err/sec/share` 与有效 privilege、MAEE、PMP lock 规则一致,P0,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
L2TLB-TP-IMPORT-L2TLB_TP_058,control hazard,L2TLB_TP_058,control hazard,L2TLB_TP_058,outstanding translation/PTW 存在时 SATP/ASID/control 改写必须先 drain/flush/abort；负向只检查 assertion/error handling,outstanding translation/PTW 存在时 SATP/ASID/control 改写必须先 drain/flush/abort；负向只检查 assertion/error handling,普通测试不生成；负向测试期望 assertion 或 error classification,outstanding MB/PTW 期间注入 SATP/ASID/control 改写,Negative assertion,SATP write；ASID write；MMU/PTW enable change,SATP write；ASID write；MMU/PTW enable change,control hazard assertion checker,需新增 negative suite,control hazard assertion checker; 普通测试不生成；负向测试期望 assertion 或 error classification,P1,,doc/l2tlb_uvm_audit/L2TLB_TRISTAN_IP_Hardware_tp_V1.xlsx; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_BuildPlan.md; doc/l2tlb_uvm_audit/progress.md,Planned,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Non-function-description audit import; Phase6G default scanner expected STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.
# v7.8 audit import separator,L1/L2 audit closure and follow-up rows imported from non-function audit docs below.,,,,,,,,,,,,,,,,,,,,
L1DTLB-P6G-CLOSURE,L1DTLB audit Phase6 closure,Phase6G,Replay/closure gate,l1dtlb_phase6g_replay; l1dtlb_phase6g_closure,L1DTLB Phase6G replay and closure,Audit Phase6A-6G closure imported from L1DTLB audit progress/build documents.,Replay and closure targets remain PASS with no audit-token/broad-waive regressions.,make -C mmu_verification l1dtlb_phase6g_replay; make -C mmu_verification l1dtlb_phase6g_closure,Audit closure,Phase6G replay/closure report,,l1dtlb Phase6 assertion/checker set,Phase6A-6G l1dtlb targets,PASS 28/28 for replay and closure; remaining vabuf equivalence and exact PLRU victim are future/formal items.,P0,,doc/l1dtlb_uvm_audit/L1DTLB_UVM_Phase6_Progress.md; doc/l1dtlb_uvm_audit/L1DTLB_UVM_Phase6_BuildPlan.md,Closed with scoped future/formal items,L1DTLB-Audit-Phase6G,doc/l1dtlb_uvm_audit/L1DTLB_UVM_Phase6_Progress.md,Imported to main traceability only; audit source files not modified.
L2TLB-P6G-CLOSURE,L2TLB audit Phase6 closure,Phase6G,Default scanner closure,l2tlb_phase6g default scanner,L2TLB Phase6G scanner closure,Audit progress closes 58 TP rows with 49 dedicated testcase plus checker/SVA evidence rows and 9 waiver/equivalent closure rows.,Default scanner status must be PASS with PASS=26 OPEN=0 FAIL=0 TOTAL=26.,Phase6G default scanner,Audit closure,L2TLB Phase6G progress scanner,Phase6G TP coverage report,L2TLB Phase6D/6F/6G checker/SVA evidence,l2tlb Phase6A-6G targets,STATUS=PASS PASS=26 OPEN=0 FAIL=0 TOTAL=26.,P0,,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,Closed with scoped follow-up,L2TLB-Audit-Phase6G,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_UVM_Phase6_Progress.md,RRPV runtime scoreboard sample_cycle hookup and TLBWI/TLBWR write-data exact compare remain tracked follow-ups.
L2TLB-TLBOP-NOTES,L2TLB TLB operation semantic notes,TLBOP,TLBP/TLBR/TLBWI/TLBWR/INV semantics,TLBOP semantic audit notes,L2TLB TLB operation notes override,"index[10:8] selects way, index[7:0] selects set; TLBP reads all ways without modification; TLBR reads selected way; TLBWI writes selected way; TLBWR chooses victim; INV operations scan sets and write hit vectors as appropriate.","Scoreboard and sequences use the audit note decode, bank-select, invalidation, L1 uTLB clear, and ordinary lookup/refill blocking rules.","TLBP, TLBR, TLBWI, TLBWR, INVALL, INVASID, INVVA_ALL, INVVA_ASID",Directed semantic audit,TLBOP notes cross-check against Phase6 tests/checkers,TLBOP operation coverage,TLBOP decode/blocking checker set,l2tlb_tlbop directed sequences,"Expected way/set selection, mutation/no-mutation, invalidate hit vectors, L1 uTLB clear, and blocking behavior observed.",P0,,doc/l2tlb_uvm_audit/L2TLB_TLB_OPERATION_NOTES.txt,Audit override imported,L2TLB-Audit-Phase6,doc/l2tlb_uvm_audit/L2TLB_TLB_OPERATION_NOTES.txt; doc/l2tlb_uvm_audit/progress.md,Imported from non-function audit note; function-description content excluded.
L2TLB-RRPV-EXACT-FOLLOWUP,L2TLB RRPV exact model runtime integration,RRPV,Victim policy model,l2tlb_rrpv_exact_model,RRPV exact victim policy follow-up,"Audit implementation delivered exact model algorithm on 2026-06-06, including reset/saturating/update/victim-selection rules.",Runtime scoreboard sample_cycle integration observes exact RRPV policy in regressions.,RRPV update and victim-selection sequences,Follow-up closure,RRPV exact model assertions/checkers,RRPV policy coverage,SVA_023/SVA_024 basis,RRPV audit sequences,Runtime sample_cycle hookup proves exact victim order and update behavior.,P0,,doc/l2tlb_uvm_audit/L2TLB_UVM_Audit_ImplementationPlan.md; doc/l2tlb_uvm_audit/progress.md,Follow-up,L2TLB-Audit-Phase6G follow-up,doc/l2tlb_uvm_audit/progress.md,"Conflict resolution uses audit progress: algorithm delivered, runtime scoreboard sample_cycle hookup remains open."
L2TLB-TLBOP-WRITE-DATA-FOLLOWUP,L2TLB TLBWI/TLBWR write-data exact compare,TLBOP,Write data exactness,l2tlb_tlbwi_tlbwr_write_data_exact,TLBWI/TLBWR write-data exact compare follow-up,Audit progress keeps exact write-data comparison for TLBWI/TLBWR as scoped follow-up after exact decode closure.,Checker compares selected write way/set data exactly for indexed and random writes.,TLBWI and TLBWR directed/random operations,Follow-up closure,TLBOP write-data checker coverage,TLBWI/TLBWR write-data coverage,TLBOP write-data checker,l2tlb_tlbwi_tlbwr directed sequences,Exact written entry content matches expected selected way/set transaction data.,P0,,doc/l2tlb_uvm_audit/progress.md; doc/l2tlb_uvm_audit/L2TLB_TLB_OPERATION_NOTES.txt,Follow-up,L2TLB-Audit-Phase6G follow-up,doc/l2tlb_uvm_audit/progress.md,"Conflict resolution uses audit progress: exact decode delivered, exact write-data compare remains tracked."
# v8.0 PTW spec import separator,"PTW spec, scoreboard/SVA, and PDE-cache PMP flag plan testpoints imported below.",,,,,,,,,,,,,,,,doc/ptw_uvm_review/ptwspec.md; doc/ptw_uvm_review/ptw_pde_cache_pmpflg_uvm_implementation_plan.md,Traceability import marker,PTW-Spec-Traceability-Import,,
PTW-SPEC-IMPORT-L1D-SVA-PTW-001,ptw_l1dtlb_ref_pa_vld 只允许 load/store type 安装；PFU/fetch 不得写 L1DTLB data TLB。,L1D-SVA-PTW-001,13.21.11 L1DTLB consumer-side SVA 更新要求,L1D-SVA-PTW-001,L1D-SVA-PTW-001,ptw_l1dtlb_ref_pa_vld 只允许 load/store type 安装；PFU/fetch 不得写 L1DTLB data TLB。,ptw_l1dtlb_ref_pa_vld 只允许 load/store type 安装；PFU/fetch 不得写 L1DTLB data TLB。,PTW-ADD-004/032,Assertion,Assertion + cover property,PTW-ADD-004/032,L1D-SVA-PTW-001,,ptw_l1dtlb_ref_pa_vld 只允许 load/store type 安装；PFU/fetch 不得写 L1DTLB data TLB。,P0,mmu/rtl/mmu_l1dtlb.sv; mmu/rtl/mmu_l1dtlb_install.sv; mmu/rtl/mmu_l1dtlb_expt_cam.sv,doc/ptw_uvm_review/ptwspec.md:2348,Planned/Assertion Spec,PTW-SVA-Spec-Import,doc/ptw_uvm_review/ptwspec.md,Imported from heading '13.21.11 L1DTLB consumer-side SVA 更新要求'. Source row: SVA ID=L1D-SVA-PTW-001 | Priority=P0 | 断言要求=ptw_l1dtlb_ref_pa_vld 只允许 load/store type 安装；PFU/fetch 不得写 L1DTLB data TLB。 | 绑定测试点=PTW-ADD-004/032
